date, pm25, pm10, o3, no2, so2, co
2025/11/1, 115, 18, 23, 8, 1, 2
2025/11/2, 45, 59, 23, 20, 2, 5
2025/11/3, 108, 75, 26, 24, 2, 6
2025/11/4, 142, 113, 9, 32, 2, 9
2025/11/5, 179, , , , , 
2025/10/1, 72, 48, 54, 11, 2, 3
2025/10/2, 76, 44, 37, 11, 2, 4
2025/10/3, 78, 46, 52, 11, 2, 4
2025/10/4, 88, 41, 25, 9, 2, 4
2025/10/5, 78, 19, 30, 4, 1, 2
2025/10/6, 40, 47, 36, 10, 1, 5
2025/10/7, 91, 23, 17, 7, 1, 3
2025/10/8, 46, 8, 17, 7, , 3
2025/10/9, 22, 13, 22, 6, , 3
2025/10/10, 37, 18, 17, 8, , 4
2025/10/11, 46, 35, 13, 13, 2, 6
2025/10/12, 59, 54, 25, 15, 1, 7
2025/10/13, 86, 45, 40, 17, 1, 7
2025/10/14, 86, 69, 40, 19, 2, 8
2025/10/15, 138, 62, 14, 11, 1, 8
2025/10/16, 122, 29, 20, 8, , 4
2025/10/17, 57, 14, 22, 6, , 3
2025/10/18, 31, 14, 26, 5, , 3
2025/10/19, 29, 16, 22, 5, , 2
2025/10/20, 43, 24, 23, 10, , 2
2025/10/21, 48, 48, 12, 17, 1, 5
2025/10/22, 93, 58, 24, 12, 1, 5
2025/10/23, 138, 76, 23, 19, 1, 8
2025/10/24, 161, 92, 25, 16, 1, 8
2025/10/25, 176, 23, 24, 7, 1, 3
2025/10/26, 67, 35, 24, 12, 1, 3
2025/10/27, 65, 82, 25, 19, 2, 6
2025/10/28, 144, 119, 18, 14, , 8
2025/10/29, 198, 88, 16, 15, 1, 9
2025/10/30, 178, 41, 23, 10, 1, 5
2025/10/31, 95, 45, 29, 8, 1, 4
2025/7/1, 50, 25, 71, 8, 1, 4
2025/7/2, 59, 20, 37, 6, 1, 4
2025/7/3, 60, 27, 82, 7, 1, 4
2025/7/4, 87, 26, 50, 5, 1, 2
2025/7/5, 63, 11, 71, 4, 1, 1
2025/7/6, 20, 30, 89, 9, 3, 3
2025/7/7, 52, 30, 72, 6, 1, 3
2025/7/8, 65, 40, 61, 7, 2, 5
2025/7/9, 86, 26, 35, 7, 1, 3
2025/7/10, 63, 43, 75, 7, 2, 5
2025/7/11, 97, 40, 87, 7, 2, 3
2025/7/12, 94, 13, 52, 6, 1, 1
2025/7/13, 27, 35, 90, 13, 2, 3
2025/7/14, 61, 40, 42, 9, 2, 5
2025/7/15, 77, 27, 57, 6, 1, 6
2025/7/16, 62, 10, 59, 7, 1, 2
2025/7/17, 23, 33, 106, 10, 3, 4
2025/7/18, 58, 51, 91, 9, 3, 4
